,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,fav
0,0.424,0.337,2.0,-11.554,0.0345,0.798,0.62,0.114,0.108,119.901,4.0,fav
1,0.629,0.615,9.0,-7.732,0.0318,0.029,0.259,0.189,0.452,129.977,4.0,fav
2,0.479,0.441,4.0,-8.938,0.027,0.785,0.126,0.11,0.11,103.002,4.0,fav
3,0.403,0.618,7.0,-7.978,0.0278,0.0732,0.587,0.279,0.22,133.113,4.0,fav
4,0.312,0.822,7.0,-4.759,0.0494,0.00018,0.679,0.214,0.266,148.926,4.0,fav
5,0.542,0.4,7.0,-7.967,0.0262,0.162,0.326,0.261,0.473,130.86,4.0,fav
6,0.33,0.933,1.0,-4.044,0.0576,0.000202,0.905,0.246,0.244,143.455,4.0,fav
7,0.703,0.518,7.0,-8.764,0.0331,0.281,0.576,0.0933,0.801,110.007,4.0,fav
8,0.653,0.671,,-7.91,0.027,0.108,0.291,0.104,0.899,123.532,4.0,fav
9,0.666,0.742,4.0,-6.216,0.0581,0.112,0.000588,0.195,0.666,125.479,4.0,fav
10,0.602,0.496,,-9.375,0.0333,0.714,0.795,0.134,0.303,155.069,4.0,fav
11,0.609,0.518,4.0,-9.209,0.0265,0.698,0.836,0.116,0.112,138.022,4.0,fav
12,0.544,0.514,9.0,-13.652,0.0416,0.106,0.858,0.965,0.342,99.641,4.0,fav
13,0.429,0.751,1.0,-12.217,0.0645,0.0335,0.669,0.897,0.327,114.031,4.0,fav
14,0.578,0.385,6.0,-14.585,0.0362,0.0154,0.622,0.92,0.172,126.716,4.0,fav
15,0.41,0.681,11.0,-11.946,0.061,0.00295,0.762,0.563,0.351,140.314,4.0,fav
16,0.224,0.633,5.0,-11.359,0.0767,0.0168,0.372,0.587,0.326,87.312,4.0,fav
17,0.247,0.544,2.0,-13.181,0.0576,0.0116,0.673,0.755,0.07,106.062,5.0,fav
18,0.365,0.443,,-16.276,0.147,0.0219,0.00037,0.422,0.214,123.442,4.0,fav
19,0.432,0.249,2.0,-18.974,0.0557,0.131,0.304,0.407,0.132,73.469,4.0,fav
20,0.523,0.559,11.0,-14.232,0.0829,0.0122,0.726,0.976,0.171,85.593,4.0,fav
21,0.306,0.546,4.0,-13.4,0.0415,0.00165,0.566,0.473,0.283,150.307,4.0,fav
22,0.482,0.612,7.0,-13.855,0.061,0.00161,0.463,0.714,0.299,124.661,4.0,fav
23,0.413,0.548,10.0,-13.715,0.0611,0.0373,0.63,0.96,0.35,145.937,4.0,fav
24,0.491,0.406,7.0,-14.682,0.0382,0.00242,0.0914,0.62,0.353,110.748,3.0,fav
25,0.324,0.717,2.0,-12.499,0.156,0.0256,0.372,0.886,0.267,147.271,4.0,fav
26,0.447,0.311,10.0,-16.947,0.0342,0.0819,0.604,0.826,0.238,97.636,3.0,fav
27,0.349,0.67,9.0,-11.948,0.0414,0.0843,0.882,0.751,0.262,86.996,4.0,fav
28,0.543,0.563,1.0,-14.749,0.109,0.02,0.112,0.94,0.485,144.49,4.0,fav
29,0.279,0.636,,-13.581,0.073,0.00179,0.434,0.945,0.164,104.945,3.0,fav
30,0.337,0.341,4.0,-20.224,0.0978,0.113,0.238,0.828,0.287,131.499,4.0,fav
31,0.273,0.626,7.0,-12.672,0.0592,0.0013,0.3,0.0931,0.0946,74.601,4.0,fav
32,0.168,0.591,7.0,-13.366,0.0604,0.000822,0.265,0.919,0.238,153.292,1.0,fav
